Principle,Situation
"If you did something that you regret (i.e. lying) or something that unintentionally hurt someone, owning up to it, apologizing for the hurt caused and trying to move on is the best approach",apologizing
"If you're not willing to engage with rude behavior, call them out on it and saying something like ""I don't appreciate comments like that"" can get the point across that their comment was unnecessary. ",appearance
"Focus on developing your personality and diving deeper into your interests.You can't control how attractive you are, but you can focus on developing your personality and diving deeper into your interests as people find this more appealing in the long term than just attractiveness",appearance
"People are open to dating people of different appearances and types. However their baseline expectations are that someone is well groomed (haircut, nails, nice teeth) and wearing well fitted ironed clothes.",appearance
"There is no perfect time to ask someone out. If the conversation is flowing well, at any point, you should feel comfortable suggesting moving from texting to meeting in person ",asking out
"If someone says that they would rather meet in person than text, first gauge if you feel comfortable enough with them to meet. If so, then plan a date at location you feel most comfortable, preferably in public. If you want to suggest days that you are free or an activity your interested in (i.e. drinks, coffee or a walk), that can also further things along. ",asking out
"If someone is hesitating giving you their number, they might not feel comfortable sharing their personal contact information and may want to get to know you better before taking that step. You can try asking them out but it is unlikely that they will say yes. The best approach is to keep chatting and then ask them out when it feels like there is an appropriate number of back and forth messages. If someone wants to keep chatting online but you would prefer to meet in person to see if you connect offline, it is okay to say that. You can be respectful and funny by saying something like ""I can give you an answer to that over drinks"". If they say no, you don't need to keep up the conversation and can communicate that by saying, ""I'm more a meet in person rather than a text person, I find the back and forth on apps exhausting but would love to meet up for coffee or drinks later this week.",asking out
"If someone wants to keep chatting but your style is to just meet up, its ok to say that. You can be respectful but funny and say something like ""I can give you an answer to that over drinks"". If they say no, you don't need to keep up the conversation and can let them know by saying, ""I'm more a meet in person than text person, I find the back and forth on apps exhausting but would love to meet up for drinks.""",asking out
"If you are interested in meeting the person but are not sure how they feel, you can move the conversation along by proposing meeting in person. There is no perfect time to ask someone out. If the conversation is flowing well, at any point, you should feel comfortable suggesting moving from texting to meeting in person. ",asking out
"If you are getting long responses from someone, but they are not suggesting meeting up - it could be three things. They are trying to get to know you before meeting in person, they are waiting for you to ask them out, or they are not interested and don't know what to do. In all these situations, the easiest way to get to an answer is to ask the person out and gauge their interest in seeing where things could go between you two. ",asking out
"If someone says they are not interested, do not try to convince them otherwise - take it at face value and move on. There are plenty of other fish in the sea! If you need closure, determine how you would like to go about that.",asking out
"The goal of dating apps is to move from chatting on the app to meeting in-person. If the conversation is flowing well, at any point, suggest moving from texting to meeting in-person. You can say something like ""Enjoying our banter, but how about we take it offline and catch up over drinks this week.""",asking out
No time is too soon to ask someone out as you can skip the conversation and directly meet in-person.,asking out
"If your opening line on a dating app is asking someone out, then voice that you prefer to meet directly in person and suggest a concrete plan with a date and time in the future so you can lock it down. If the person you are chatting with asks for some time, if you're interested in continuing to chat with them over text and seeing where it goes go for it. Feel free to bring up going out with them again when you feel like it and if they decline and you feel like it's not going anywhere you can end the conversation. ",asking out
"If someone is being vague about meeting in the future, suggest a concrete plan with a date and time in the future so you can lock it down. You want to move off the app and into meeting in person as soon as possible. ",asking out
"If someone suggests moving off the app, and gives you their phone number - it is up to you to decide if you want to move off app or keep it there. If you want to text - you can switch to texting and just say 'hi it's X"" and see where the conversation goes. If you want to keep it on app, can say that you prefer using the app until you actually meet in person. This furthers the chances that they will make a plan to meet. ",asking out
"If you have reached out to make plans, and the other person is not available, give that person an opportunity to reschedule the time to meet in person. If they don't end up rescheduling the time to meet in person, follow-up with them and ask them if they are still interested in meeting in person.  It takes two to tango, and giving someone a chance to show you that they want to make an effort is a helpful way to see how willing they are to instigate a date.",asking out
"If someone gives you an idea for a date, you can offer up your availability of when you are free - and then let them ask you out. ",asking out
"If someone suggests meeting immediately instead of texting and you're on the same page, use it as an opportunity to ask them out by suggesting a specific date, time and location. If you are not interested, let them down gently. If you need more time, say that you would like to keep texting or video chatting to see if you are compatible before meeting in person. If someone suggests going on a date/meeting IRL, without a specific plan and you are interested, you should indicate that you are by saying something like ""Ooh, what do you have in mind?"" or ""I'm a wine bar on a first date kind of person"".",asking out
"If someone suggests going on a date on a major holiday, it's ok to suggest another time. ",asking out
"If someone asks you when you are free, give them options of at least 2 days. ",asking out
"If someone asks you to pick the restaurant and if you have suggestions let them know. If you don't have suggestions, communicate that to them and suggest finding a restaurant together. ",asking out
"Have fun and stay positive: Dating can be challenging, but maintaining a positive attitude and approaching it with a sense of humor can make the experience more enjoyable and rewarding",attitude
"Embrace diversity: Recognize and appreciate the diversity of experiences and preferences in the dating world, and approach others with empathy and respect.",attitude
You have complete control over how attractive you feel - it's a mindset. Focus on upleveling and becoming the best version of yourself. ,attitude
"If a guys says ""you're trouble"", he's probably implying that you keep him on his toes and is most likely interested in you. ",attitude
"Authenticity is attractive: Instead of trying to conform to an idealized version of what you think men want, embrace your authenticity. Being genuine and true to yourself is more attractive than trying to be someone you're not.",attract someone
"Confidence is key!  When you believe in yourself and your worth, you naturally become more attractive to others.",attract someone
"Invest in your personal growth and development. Work on improving yourself physically, emotionally, intellectually, and spiritually to become the best version of yourself. Being the best version of yourself means you will attract the best possible partner.",attract someone
You need to believe that you deserve love and happiness.,attract someone
"You can answer a question honestly, respond with a simple ""lol"" or ""haha"" and then continue the conversation by asking a different question. If the conversation is going well, you can also use this as an opportunity to ask them out: ""Enjoying our banter, but how about we take it offline and catch up over drinks this week.""",being funny
"If you don't have a funny response, that is okay. You can respond with a ""lol"" or ""haha"" to acknowledge their funny response and then continue the conversation (i.e. ask about their interests, etc.). When asking someone out, focus on suggesting a plan they would be excited about and concrete date and time options (Eg. ""I'm a mind reader...I know we're going on a date this week - but I'm not sure if it's on friday or saturday"").",being funny
"If someone asks you out in a funny way, and you're interested, be sure to let them know and confirm the date and time, rather than focusing on being funny.",being funny
"When asking someone out, focus on suggesting a plan they would be excited about and a concrete date and time (ex. ""I'm a mind reader...I know we're going on a date this week - but I'm not sure if it's on friday or saturday"").",being funny
"If you don't have a funny response, that's ok. You can always redirect by asking a more open ended question about something on their profile or from earlier in your conversation. If the conversation is going well, can also use this as an opportunity to ask them out. ""Enjoying our banter, but how about we take it offline and catch up over drinks this week"". You can also make a joke of the redirection by saying something like ""well that was awkward lol"" or ""moving right along"".",being funny
"Recognize that your happiness and fulfillment are ultimately your responsibility. Cultivate joy and contentment in your own life, independent of a romantic relationship.",being single
"Finding love can be a journey that takes time. Be patient and persistent in your efforts, and trust the process.",being single
"Be brief, firm but kind when you are the one ending something. With communication, the kindest thing we can do is to be clear with people. It can be a short and simple text: ""It was great to meet you, but unfortunately I don't think we are on the same page and would be a good fit long term. I wish you the best with your dating journey."" If someone asks for an explanation of why it didn't work or feedback on what they should change about themselves, you can be honest with them if you feel it's in their best interest to know. Be gentle in your delivery and keep it brief. Speak to them in the same way you'd want someone to speak to you or a close friend. There are sometimes very specific reasons that are worth acknowledging as to why you don't want to continue pursuing the relationship: living in different cities, work schedules, seeing someone else, or very different values (wanting kids vs. not).",break up
"If someone says they are not interested in being friends post break-up, then respect that. Give them the space they are asking for and move on.",break up
"Just because someone asks to be friends after a date, does not mean you have to agree. If you believe that you don't have a romantic connection, and could have a purely platonic one and you have time for a new friend, then it's ok to agree. If you are not interested in a platonic relationship, and feel like you will still hold on to hope, then you should simply say no to being friends. Be polite but firm: ""It was nice to meet you as well! I appreciate you wanting to stay in touch, but I'm not quite on the same page. Good luck with your dating journey!""",break up
Don't ask for feedback from your dates on how you can be better or what went wrong. This is an awkward conversation that will make the other person feel uncomfortable and might cause you hurt. Reflect internally on how the date(s) went and see if there are patterns that emerge.,break up
"If you decide to end a relationship, clearly communicate your reasons for wanting to end the relationship without blaming or criticizing the other person. Use ""I"" statements to express your feelings and perspective. Acknowledge the other person's feelings and express empathy for any pain or hurt they may experience as a result of the breakup. Let them know that you care about their well-being. Allow the other person to express their thoughts and feelings without interruption. ",break up
Make it clear that your decision to end the relationship is final and that you've thought it through. Avoid giving false hope or mixed messages that could lead to confusion. ,break up
"If you need space after a breakup, take it. If you need to follow a no contact rule, go for it. Everyone copes in different ways. If you feel like your coping style is unhealthy, know that you have resources to process this (e.g., seeking out therapy). ",break up
"There are very specific reasons that are worth acknowledging if this leads to a breakup: living in different cities, work schedules, seeing someone else, or very different values (wanting kids vs not). It's okay to bring one of these up since this is not about someone's character but gives them closure and an explanation.",break up
Breakups are difficult. Your feelings are valid. Take some time to feel your feelings and reflect on yourself and the experience. ,break up
If you feel like you are better off being single then there's nothing wrong with calling off the relationship just be sure to let the person you are with know gently. ,break up
"Let a potential partner in by leading with courage and vulnerability. Being brave enough to open up, show emotions, and connect authentically with others deepens relationships. For example, when sharing something personal with a new partner, try to let your guard down and reveal honest emotions and thoughts rather than hiding behind a facade. ",Building connection
"Deeply understand your partner's core psychological characteristics, goals, fears, worries and hopes. Keep updating your knowledge of each other over time. For example, ask thoughtful questions and follow up to gain new insight into your partner's preferences, feelings, achievements that matter to them.",Building connection
"Nurture your fondness and admiration. Regularly cultivate fond feelings and mutual respect for one another. Express genuine admiration for each other's positive qualities and things you appreciate. For instance, drop ongoing complaints and instead highlight at least one strength of your partner each day.",Building connection
"Turn towards each other instead of away. Prioritize responding attentively to positive bids for attention or emotional connection from your partner. For example, if your spouse shares an idea or asks about your day, stop what you're doing to connect and listen wholeheartedly.",Building connection
"Let your partner influence you - accept your spouse's desires, opinions and values as valid. Compromise and make mutual decisions rather than stubbornly insisting on getting your way. For instance, if you disagree, have an open discussion until both feel fully heard and search for a fair solution",Building connection
"Create shared meaning - talk openly about your ideals, values, purpose and vision for your relationship to build spiritual intimacy. Participate together in meaningful conversations, rituals, goals and activities that fulfill this shared sense of meaning.",Building connection
"Happy couples create positivity in their relationships through small, deliberate actions. You need 5 positive interactions for every negative one in conflict. Small gestures to create positivity, joy, interest and affection are key.",Building connection
"If you feel the other person is not investing in the same amount of effort to see you, let them know how you feel and see if there are any positive changes in their response. If not, you can choose to end things if you like (e.g. if you want to cancel a date then do it in advance).",canceling plans
Unexpected things happen (i.e. the weather is not good) which could lead to canceling the date. Be sure to explain to the person why you are asking to cancel the date and reiterate your interest in seeing them. Take it a step forward and ask them when they are available next to meet you.,canceling plans
"If you've reached the location of your date and the other person cancels, it is okay to let them know how you feel. If you're no longer interested in seeing them, feel free to let them know and end things. ",canceling plans
"If someone is ok with cheating, give them advice that it is not a healthy foundation for a new relationship and once a cheater, always a cheater - shows a pattern of behavior that is repeatable. ",cheating
"If someone is being shady about having a partner and still flirting with you, and you want to call them out on it, say ""I'm not interested in chatting with someone who already has a partner, but good luck with your relationship!""",cheating
"Before you accuse someone of cheating, identify whether you have evidence for this or whether this is stemming from something internal for you (e.g. past traumas etc.). If it is more internal, know that you have resources to process and navigate these triggers (e.g., seeking therapy). Depending on how you feel, you can also let the person know that you're feeling this way due to something internal for you (e.g. past traumas etc.). You should be 100% sure if someone is cheating, before you accuse them of this.",cheating
"It can be pretty difficult to have conversations where you ask your partner if they are cheating - find the time to do it in person, pick a low stress time (e.g., don't bring it up during conflict), and bring up specific examples or incidents that have made you feel insecure. Do not directly accuse them of cheating, but offer them a chance to explain.",cheating
"If someone accuses you of cheating, if it's true then it's better to deal with it there and then - otherwise the lies pile up and the stress of lying gets to you.  If you have done something, apologize for breaking the trust and decide if you can be faithful, before promising to be. If you have not done anything, try to understand why your partner is feeling that way - and what actions you can take in the future to prevent them from feeling that way.",cheating
"Assess early on if you share key values around monogamy, having kids, and sexual appetites. Don't just assume a partner will change - major incompatibilities often persist.",choosing a partner
"There's no such thing as a perfect relationship. Accept each other's minor flaws and quirks. Don't obsess over perceived ""ideal"" partners. Your partner isn't perfect and neither are you. ",choosing a partner
"Let minor annoyances go and don't nitpick. For example, if your partner is running late frequently, reflect on whether that bothers you deeply and if it's truly a core value. ",choosing a partner
